data_year,population,total_agency_count,published_agency_count,active_agency_count,covered_agency_count,population_covered,agency_count_nibrs_submitting,agency_count_leoka_submitting,agency_count_pe_submitting,agency_count_srs_submitting,agency_count_asr_submitting,agency_count_hc_submitting,agency_count_supp_submitting,nibrs_population_covered,total_population
2019,337556149,18671,14993,22021,16,18660,8536,8356,15004,7786,11788,15520,15643,146950904,337556149
2018,336536616,18560,15236,21896,39,18737,7777,7122,15247,8200,13057,16107,15615,129148182,336536616
2017,335231625,18448,16393,21764,29,51097,7148,6680,16399,9381,13684,16285,15578,109218573,335231625
2016,329242793,18466,16921,21625,28,111631,7083,6388,16927,9986,13661,15940,15785,105287171,329242793
2015,327511036,18435,16813,21551,20,40665,6823,6223,16815,10102,13434,15096,15655,99789318,327511036
2014,324735099,18492,16625,21367,7,32102,6682,5902,16626,10048,12888,15696,15397,95815145,324735099
2013,321952676,18409,16655,21240,19,28061,6477,5304,16656,10215,12427,15225,15455,94097559,321952676
2012,319689868,18295,16612,21094,19,116631,6339,5039,16615,10355,12890,14624,15430,92910318,319689868
2011,317176318,18241,16467,20943,12,88075,6079,4856,16470,10488,12627,14672,15168,89859960,317176318
2010,314164230,18145,16451,20825,7,14172,5962,4641,16454,10570,12725,14992,15085,86332656,314164230
2009,312363383,18037,15956,20647,40,16269,5906,4435,15959,10087,12915,14454,15030,83250692,312363383
2008,309324491,17976,15681,20478,31,54330,5554,3342,15683,10284,12290,14210,14833,79830405,309324491
2007,306755209,17918,15631,20349,15,15235,5276,3100,15633,10472,12369,13309,14708,76360982,306755209
2006,304523081,17725,15252,20147,13,20373,5144,2993,15254,10231,11745,12717,14135,73680101,304523081
2005,301499406,17459,14619,19840,6,6691,4975,2859,14621,9813,11786,12486,14129,71481960,301499406
2004,298656157,17502,14657,19857,18,12131,4811,2632,14658,9970,11441,12764,14030,66482416,298656157
2003,295709600,17384,14139,19672,22,14710,4516,1872,14140,9745,11371,12032,13785,61887047,295709600
2002,293182392,17327,13950,19511,3,3620,4042,1517,13951,10063,10948,12110,13473,56433016,293182392
2001,289627938,16974,13414,19143,6,4307,3785,1390,13415,9772,10281,12123,13061,53079226,289627938
2000,286335900,16832,13259,18994,10,40475,3576,1266,13260,9818,9906,11795,12760,49081004,286335900
1999,277475255,17338,12707,19292,5,6591,2986,1195,12709,9971,9504,12109,12399,40515418,277475255
1998,275190443,17078,12219,19027,5,7192,2973,948,12220,9994,9599,10708,11910,37506010,275190443
1997,272548861,17110,12383,18930,10,4751,2089,734,12384,10587,9479,11090,11685,28130682,272548861
1996,270350716,16795,12091,18515,9,61630,1636,669,12092,10670,10040,11281,11766,23753345,270350716
1995,267428288,16776,12866,18460,6,34146,1368,601,12867,11681,10045,9535,12666,18690699,267428288
1994,264964630,16658,13080,18345,5,12685,1652,568,13081,12249,10704,7337,12876,19711242,264964630
1993,262453212,16517,13029,18171,3,10033,1590,428,13030,12354,10282,6512,12855,18846909,262453212
1992,259603780,16325,13910,17988,9,12769,1054,413,13911,13274,11062,4829,13159,14503260,259603780
1991,256655913,16167,13764,17828,14,23583,713,330,13765,13453,10196,2746,12988,11578645,256655913
1990,253286315,15870,13920,17584,12,61836,2,1,13921,13905,10765,0,13443,180471,253286315
1989,252766828,15753,14116,17405,16,21899,0,0,14117,14098,10502,0,13196,0,252766828
1988,250263626,15653,12904,17285,12,40436,0,0,12905,12890,10077,0,12961,0,250263626
1987,247674898,15951,14063,17517,9,30247,0,0,14064,14052,10613,0,13829,0,247674898
1986,244909160,16028,14140,17432,11,89029,0,0,14141,14127,10744,0,13921,0,244909160
1985,242487508,15879,14081,17258,23,64182,0,0,14082,14056,11260,0,13870,0,242487508
1984,239750938,15771,13901,17028,16,23274,0,0,13902,13884,10693,0,13699,0,239750938
1983,237625526,15762,13748,16906,16,127650,0,0,13752,13734,10824,0,13529,0,237625526
1982,238238554,15680,13831,16789,32,71619,0,0,13832,13798,9931,0,13622,0,238238554
1981,235449753,15697,14173,16607,34,50483,0,0,14174,14138,10411,0,13745,0,235449753
1980,231563235,15555,14151,16407,37,49789,0,0,14155,14116,9621,0,13673,0,231563235
1979,225960164,15449,14032,16171,15,19852,0,0,14036,14019,10022,0,13807,0,225960164
