data_year,population,total_population
2019,337556149,337556149
2018,336536616,336536616
2017,335231625,335231625
2016,329242793,329242793
2015,327511036,327511036
2014,324735099,324735099
2013,321952676,321952676
2012,319689868,319689868
2011,317176318,317176318
2010,314164230,314164230
2009,312363383,312363383
2008,309324491,309324491
2007,306755209,306755209
2006,304523081,304523081
2005,301499406,301499406
2004,298656157,298656157
2003,295709600,295709600
2002,293182392,293182392
2001,289627938,289627938
2000,286335900,286335900
1999,277475255,277475255
1998,275190443,275190443
1997,272548861,272548861
1996,270350716,270350716
1995,267428288,267428288
1994,264964630,264964630
1993,262453212,262453212
1992,259603780,259603780
1991,256655913,256655913
1990,253286315,253286315
1989,252766828,252766828
1988,250263626,250263626
1987,247674898,247674898
1986,244909160,244909160
1985,242487508,242487508
1984,239750938,239750938
1983,237625526,237625526
1982,238238554,238238554
1981,235449753,235449753
1980,231563235,231563235
1979,225960164,225960164
